name,min megahertz,max megahertz,min megabytes,max megabytes,min megatexels,max megatexels,VendorID,MinDeviceID,MaxDeviceID,Unsupported,Laptop,m_nDriverVersion_BuildHigh,m_nDriverVersion_BuildLow,m_nDriverVersion_Vista_BuildHigh,m_nDriverVersion_Vista_BuildLow,DefaultRes,MaxDxLevel,DxLevel,MakeMeLast,CentroidHack,NoUserClipPlanes,ConVar.mat_antialias,ConVar.r_fastzreject,ConVar.mat_reduceparticles,ConVar.mat_reducefillrate,ConVar.mat_forceaniso,ConVar.mat_picmip,ConVar.mat_slopescaledepthbias_decal,ConVar.mat_slopescaledepthbias_normal,ConVar.mat_depthbias_decal,ConVar.mat_depthbias_normal,ConVar.mat_trilinear,ConVar.mat_forcehardwaresync,ConVar.mat_specular,ConVar.mat_parallaxmap,ConVar.r_shadowrendertotexture,ConVar.r_waterforceexpensive,ConVar.r_waterforcereflectentities,ConVar.r_rootlod,ConVar.mat_vsync,ConVar.mat_bumpmap,ConVar.r_screenfademinsize,ConVar.r_screenfademaxsize,ConVar.mat_softwarelighting,ConVar.dsp_off,ConVar.dsp_slow_cpu,ConVar.r_shadows,ConVar.r_drawdetailprops,ConVar.r_drawmodeldecals,ConVar.r_drawflecks,ConVar.props_break_max_pieces,ConVar.r_decal_cullsize,ConVar.sv_alternateticks,ConVar.r_dynamic,ConVar.cl_ejectbrass,ConVar.cl_detaildist,ConVar.cl_detailfade,ConVar.r_dopixelvisibility,ConVar.r_VehicleViewDampen,ConVar.mat_forcemanagedtextureintohardware,ConVar.mat_hdr_level,ConVar.r_overlayfademin,ConVar.r_overlayfademax,ConVar.mat_colorcorrection,ConVar.mat_disable_ps_patch,ConVar.mat_motion_blur_enabled,ConVar.r_flashlightdepthtexture,ConVar.mat_disablehwmorph,ConVar.r_portal_stencil_depth,DisableShaderOptimizations
50,,,,,,,,,,1,,,,,,640,50,50,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,0,1,1,0,0,0,0,1,0,0,200,300,1,1,1,0,0,0,0,2,15,1,0,0,0,0,1,,0,0,,,0,,0,0,,1,
60,,,,,,,,,,1,,,,,,640,60,60,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,0,1,1,0,0,0,0,1,0,0,200,300,1,1,1,0,0,0,0,2,15,1,0,0,0,0,1,,0,0,,,0,,0,0,,1,
70,,,,,,,,,,,,,,,,640,70,70,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,0,1,1,0,0,0,0,1,1,0,150,250,1,0,1,1,0,0,0,2,15,1,1,0,0,0,1,,0,0,384,512,0,,0,0,,1,
80,,,,,,,,,,,,,,,,800,80,80,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,1,1,1,1200,400,1,,0,0,1000,1200,0,,0,0,,1,
81,,,,,,,,,,,,,,,,1024,81,81,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,0,1,1,1200,400,1,,0,0,1100,1350,0,,0,0,,1,
90,,,,,,,,,,,,,,,,1024,90,90,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,0,1,1,1200,400,1,,0,2,1750,2000,1,,0,0,,,
95,,,,,,,,,,,,,,,,1024,95,95,,0,0,0,0,,0,1,0,-0.5,0,-262144,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,0,1,1,1200,400,1,,0,2,1750,2000,1,,0,1,0,,
98,,,,,,,,,,,,,,,,640,98,98,,0,0,0,0,,0,8,0,-0.5,0,-262144,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,-1,5,0,1,1,1200,400,1,,0,2,1750,2000,1,,0,1,,,
AMD,0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,
Intel,0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,
memory [0-250),,,0,270,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [256-512),,,270,550,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [0-128),,,,,0,140,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [128-256),,,,,140,300,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [256-infinity),,,,,300,65535,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Unknown,,,,,,,0x1002,0x0000,0xffff,,,,,,,,,,1,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
AMD Radeon HD 6970M,,,,,,,0x1002,0x6720,0x6720,,,,,,,2560,,,,,,4,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
AMD Radeon HD 6770M,,,,,,,0x1002,0x6740,0x6740,,,,,,,1920,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
